Crop,Temperature,Moisture Content,Pesticide,Light,Oxygen,Spoilage Risk
2,0.58,18.91,1,0,7.16,37
2,6.04,15.75,0,1,3.3,37
2,36.83,16.93,1,0,7.9,38
2,6.46,4.57,1,2,1.09,28
1,38.51,8.61,0,2,7.75,56
0,2.69,8.36,0,1,7.33,39
1,29.5,7.75,0,1,7.61,47
2,20.42,17.82,0,0,2.42,35
1,24.56,15.75,1,2,2.76,37
1,8.91,16.71,1,1,6.34,37
0,36.11,9.02,0,1,6.99,48
1,0.72,14.78,1,0,5.18,30
1,38.22,15.99,1,2,3.38,47
0,14.26,9.34,1,0,2.45,23
2,8.95,11.03,0,0,7.46,34
2,4.99,12.63,1,2,4.15,29
0,30.86,9.11,1,2,3.82,39
1,17.08,17.81,0,0,2.92,42
1,36.08,9.22,1,0,2.18,36
1,30.36,12.89,0,2,7.0,52
2,18.98,17.38,1,1,4.55,29
1,15.87,17.57,0,2,6.32,53
2,32.01,9.2,1,1,6.22,30
0,16.44,5.4,0,2,5.13,46
1,14.1,12.34,0,0,5.91,37
1,13.76,18.01,0,2,1.13,51
0,30.36,8.2,0,0,6.72,45
1,25.8,6.79,0,2,7.46,51
1,32.66,18.93,1,1,3.06,46
1,3.37,17.89,0,0,7.42,43
2,19.07,2.11,1,0,6.6,23
2,27.16,16.22,0,0,4.85,39
1,22.57,17.15,1,1,4.33,36
2,7.89,14.12,1,0,7.63,28
0,34.5,11.86,1,2,2.98,39
1,0.97,3.68,0,0,2.76,32
2,7.59,14.94,0,1,4.3,36
1,10.26,19.28,0,1,1.74,47
2,35.85,6.07,1,1,2.3,30
1,8.43,7.05,0,2,2.67,39
1,20.75,11.47,0,1,3.42,38
2,27.34,9.47,1,2,7.63,34
0,0.93,10.24,1,1,7.35,31
2,18.61,4.98,1,0,2.44,19
0,0.41,6.53,0,1,1.46,34
1,0.69,12.63,0,2,6.56,44
1,37.12,10.91,0,1,2.64,48
0,34.72,11.08,0,0,1.03,40
2,21.51,4.02,0,0,4.34,28
1,8.71,8.71,1,1,5.66,30
1,14.98,18.33,1,2,7.47,46
2,10.95,3.39,0,1,6.34,37
2,0.72,12.18,0,1,1.19,34
2,34.96,4.37,1,0,6.38,27
0,4.92,12.15,1,1,6.02,31
0,13.77,6.25,1,2,3.84,30
1,0.59,10.9,0,1,3.45,35
0,36.71,4.23,1,2,6.73,44
1,21.95,6.94,0,2,4.11,42
2,15.32,11.11,0,0,7.27,32
1,35.86,12.01,0,2,3.12,53
1,23.3,16.23,0,2,6.95,53
1,19.3,16.71,0,0,2.48,42
2,25.94,7.96,0,2,6.35,43
0,8.29,7.66,0,0,3.44,31
1,8.02,11.68,0,1,3.52,35
1,39.55,18.79,1,0,4.63,48
1,26.42,2.2,1,1,4.39,34
1,18.87,5.78,1,0,4.2,26
1,16.61,6.72,0,1,7.47,42
1,37.56,17.84,0,0,2.66,52
1,33.87,2.64,1,0,6.05,35
1,4.83,2.49,0,2,5.71,43
2,20.35,19.93,0,2,7.28,51
1,17.26,8.76,1,2,1.57,33
2,19.5,14.99,0,1,7.68,38
0,8.75,4.21,1,0,7.98,28
2,32.49,10.88,1,1,3.53,26
2,24.24,19.5,0,0,4.83,40
0,38.78,5.57,0,2,7.02,52
1,31.01,5.5,0,2,7.38,51
2,28.28,4.8,1,1,2.96,26
1,12.46,5.93,0,2,0.71,35
0,39.49,13.32,1,1,2.28,35
1,22.49,8.04,1,0,4.19,26
2,3.37,7.67,0,0,2.3,30
2,23.8,18.98,1,0,6.38,35
1,24.07,3.69,0,1,6.97,42
1,0.69,10.82,0,0,6.59,36
0,35.64,4.41,0,1,4.05,43
1,30.27,8.2,1,2,5.58,42
1,8.42,6.09,1,2,5.53,34
1,22.16,4.94,0,1,1.78,38
1,39.93,5.86,1,2,3.68,43
0,8.89,11.8,0,0,7.97,36
1,1.66,6.97,0,1,2.91,35
2,34.75,8.54,1,2,1.71,30
2,35.67,7.1,0,1,0.68,35
2,13.47,16.3,1,1,1.49,31
0,36.67,19.07,0,0,3.42,48
0,29.01,14.72,1,0,5.75,40
0,0.91,18.4,1,2,2.91,38
1,14.39,4.51,0,1,7.29,39
2,9.03,4.35,0,2,3.52,37
2,7.48,16.0,1,1,2.46,31
2,4.1,9.13,0,0,6.71,34
2,21.71,17.26,1,2,7.34,37
1,0.89,15.33,0,1,7.12,43
1,34.62,12.43,0,2,3.65,48
1,21.45,9.34,0,0,7.75,39
1,30.91,19.61,1,1,5.34,50
2,18.39,11.14,1,0,5.87,23
2,27.06,17.71,0,1,1.64,42
2,21.03,18.35,0,1,5.11,47
2,15.15,18.64,1,1,7.48,38
1,35.39,16.32,0,0,4.52,52
2,16.26,13.01,0,2,3.62,38
1,32.29,10.32,1,1,0.84,30
1,17.73,11.14,0,2,3.28,42
0,34.05,2.59,1,0,5.91,37
1,39.76,4.58,1,1,0.61,35
2,24.46,8.68,1,0,2.06,19
0,2.45,19.01,1,2,1.98,38
1,19.0,13.95,0,1,5.39,45
2,13.4,18.87,1,0,2.2,33
0,24.79,10.5,1,1,5.7,34
1,7.26,15.96,0,2,6.14,47
1,17.77,16.31,0,1,3.65,45
1,29.71,2.79,1,0,5.58,35
0,10.97,13.91,0,0,1.54,31
0,5.42,9.12,0,1,4.21,34
0,24.07,10.42,0,0,7.55,39
2,30.3,18.42,1,0,3.57,35
2,11.43,13.93,0,1,7.29,40
0,12.75,18.82,0,0,3.89,39
1,34.56,14.4,0,0,0.93,39
2,23.23,14.66,0,2,1.44,38
2,3.23,3.71,1,2,1.26,28
1,11.26,12.11,0,2,3.68,40
0,16.62,8.32,1,0,4.33,26
0,16.31,8.86,1,1,5.13,34
0,24.8,12.33,1,1,6.47,34
1,6.62,17.98,0,2,2.94,46
1,11.41,10.63,0,2,1.97,39
1,16.09,9.3,0,2,5.08,46
2,15.02,14.57,0,2,2.69,38
0,3.22,2.7,0,0,2.14,31
0,7.79,17.38,1,1,7.54,39
0,27.91,14.77,0,1,6.94,51
0,34.04,11.19,0,0,5.45,45
2,35.47,18.14,0,0,4.75,48
2,14.06,5.65,1,0,2.69,21
1,17.0,14.18,0,1,5.59,45
0,16.91,6.49,0,1,3.15,37
2,15.49,17.28,0,1,7.92,42
0,27.77,7.92,1,0,6.46,37
0,15.32,9.6,1,0,0.8,23
2,11.2,12.04,1,2,7.08,33
0,11.17,10.39,0,1,2.86,34
2,8.79,4.69,0,1,3.77,33
2,2.83,14.63,0,0,1.29,33
2,34.41,9.2,0,0,3.4,32
2,4.24,11.89,1,0,3.88,21
2,17.23,3.92,1,1,3.63,22
1,16.74,14.22,0,1,7.53,45
2,1.85,11.04,0,1,1.07,33
2,25.32,11.15,1,2,6.37,34
0,15.73,3.06,0,1,3.79,37
1,34.15,13.74,0,1,5.7,50
1,18.77,16.38,0,2,7.52,53
1,26.34,10.22,0,2,3.99,47
2,8.7,4.8,0,1,6.3,37
2,28.35,15.82,0,0,4.53,36
1,7.55,15.45,0,1,3.34,39
0,23.95,6.95,1,1,7.47,34
1,32.54,2.2,0,1,2.32,43
1,7.18,9.84,1,2,2.48,30
1,6.0,7.24,1,0,5.79,27
0,30.99,6.0,0,0,6.68,45
1,4.68,16.26,0,1,1.34,42
2,37.02,19.93,1,0,7.52,43
0,10.7,10.0,0,2,4.89,38
0,31.7,19.8,1,0,3.79,40
0,11.7,9.07,1,1,2.62,26
1,14.37,14.22,1,0,3.82,26
2,3.15,11.6,1,1,3.97,24
2,12.16,11.07,1,0,4.11,21
2,39.13,9.43,1,1,4.61,30
1,28.88,13.31,0,0,5.37,47
0,12.95,16.18,0,2,3.75,46
1,21.4,10.08,0,2,1.92,42
2,39.81,14.02,0,1,3.84,42
0,3.01,12.65,0,1,5.93,39
2,7.38,6.7,0,1,6.02,37
1,8.69,17.88,0,0,7.77,43
1,32.75,6.15,0,1,0.61,39
0,12.54,17.34,0,1,3.15,42
2,30.32,10.5,1,0,7.57,27
1,5.59,8.01,0,1,6.68,39
0,0.7,2.4,0,1,0.76,31
1,16.81,3.57,0,1,1.51,38
2,12.71,2.88,0,0,1.17,30
2,28.82,13.08,0,2,7.05,46
1,15.28,14.41,1,2,6.0,40
1,34.62,17.62,1,1,6.5,45
2,34.94,4.76,1,2,0.63,26
2,22.13,17.67,1,0,6.63,30
2,31.05,11.7,1,1,6.51,30
1,15.45,16.99,0,2,4.15,49
2,21.82,15.9,1,2,4.75,30
1,28.16,15.5,1,2,6.77,46
1,16.43,9.26,0,1,4.26,38
1,0.3,3.81,1,2,0.96,26
2,11.47,5.48,0,0,5.39,34
2,10.55,18.4,0,1,6.99,49
1,37.46,18.28,1,1,6.17,55
2,33.7,16.2,1,0,1.01,30
0,1.31,2.52,0,0,1.89,31
0,1.89,7.33,1,1,2.65,26
0,19.66,19.79,0,1,2.9,45
0,24.83,5.64,1,2,1.76,33
0,37.21,3.25,1,1,6.72,40
1,39.63,17.98,0,2,7.5,63
1,28.41,4.23,0,0,3.8,40
0,33.74,13.79,0,0,3.71,40
0,25.89,9.08,1,2,3.15,39
1,37.97,15.88,0,2,2.2,56
1,1.58,9.34,0,1,0.95,31
1,28.77,7.04,1,1,5.68,38
2,31.26,17.63,1,1,7.03,37
2,9.62,12.29,0,1,2.07,34
2,38.74,4.1,1,1,6.6,34
2,8.77,8.78,1,2,7.42,32
0,5.58,2.71,0,0,4.7,31
1,19.82,5.63,0,1,3.91,38
0,22.86,9.96,0,1,0.56,34
1,18.89,15.25,0,0,4.71,39
1,35.98,6.15,0,0,0.92,41
2,5.69,15.32,0,0,2.67,34
0,4.34,12.96,1,1,0.98,23
2,38.84,3.0,1,1,5.36,34
0,1.1,9.41,0,2,0.78,35
2,29.9,15.4,1,2,2.18,34
0,19.51,19.39,0,1,5.64,50
0,18.04,11.16,1,1,2.99,29
0,17.66,12.22,0,1,6.7,42
2,14.36,18.27,1,1,2.24,36
1,39.16,15.4,0,2,3.96,56
2,2.4,15.99,0,0,7.59,38
2,13.4,18.74,1,1,2.63,36
0,24.21,17.19,0,0,3.01,42
2,38.6,8.62,1,2,6.89,38
2,34.33,6.07,1,2,4.08,30
0,35.71,16.85,1,2,4.29,47
1,18.82,5.15,1,2,5.26,37
0,9.39,17.02,0,0,7.99,44
0,10.31,16.25,1,1,5.36,39
1,13.36,6.92,0,0,4.18,32
0,12.24,16.57,1,0,2.0,31
2,38.07,3.59,1,1,1.49,30
0,26.53,5.42,1,2,2.82,39
0,29.17,5.9,0,0,1.94,40
2,4.55,2.65,0,1,4.23,33
0,36.6,17.64,0,2,4.46,55
1,23.18,18.28,0,2,1.69,54
0,35.52,8.17,0,2,1.49,47
0,22.35,19.05,1,2,0.68,38
1,25.41,16.07,0,2,5.87,58
1,0.26,10.17,1,2,7.98,34
2,15.32,18.44,0,0,2.31,40
1,35.61,11.74,1,1,4.39,39
0,14.14,3.85,1,2,2.01,30
0,4.79,17.83,0,2,0.5,43
0,11.98,4.5,1,0,3.03,23
1,16.98,14.75,1,1,7.59,36
1,17.5,18.56,1,0,2.9,38
0,8.19,10.49,0,0,2.28,31
1,16.16,7.37,1,0,0.89,22
1,38.28,16.55,1,0,2.8,43
2,15.26,14.64,0,0,0.57,27
2,24.09,17.04,0,1,0.74,34
1,26.97,18.92,1,0,2.33,43
2,38.91,5.19,1,2,2.21,34
1,12.72,9.96,1,1,5.68,30
2,11.51,7.85,0,2,3.55,37
2,18.56,7.53,0,1,6.34,35
1,13.6,12.48,0,1,4.97,36
1,15.37,11.49,0,1,6.13,42
2,23.95,18.12,0,1,2.83,43
1,36.93,5.64,1,0,4.32,36
1,3.49,12.02,1,1,6.57,31
1,29.27,7.4,1,2,6.66,42
1,21.01,6.71,1,0,2.63,26
0,28.65,15.19,0,1,5.39,51
0,38.77,13.06,0,1,6.61,48
1,35.92,5.39,1,1,3.53,39
1,15.98,7.23,1,2,5.38,37
2,36.07,2.01,1,1,2.4,30
1,9.08,8.21,0,2,3.93,39
0,35.24,14.89,0,1,1.79,46
1,31.6,5.13,1,2,5.14,42
1,22.86,18.3,0,2,3.95,54
1,32.11,19.19,0,1,2.76,55
0,31.0,12.66,0,1,7.13,48
0,39.89,10.37,1,2,3.28,39
2,9.4,16.04,1,1,2.43,31
1,30.81,7.93,1,1,5.8,38
2,24.94,2.99,0,0,1.26,28
0,22.74,6.23,0,0,6.42,39
2,6.14,16.66,0,1,1.1,40
2,7.73,18.84,1,1,5.32,40
0,24.66,11.41,0,2,7.23,46
0,9.77,5.69,0,0,3.32,31
0,30.11,3.23,0,0,6.5,45
1,15.99,18.47,0,0,6.61,51
1,35.87,18.83,1,2,7.89,59
2,10.64,12.62,1,0,1.31,22
0,8.4,9.81,0,1,7.57,39
2,15.36,4.17,0,2,3.99,35
1,18.16,9.82,0,2,3.57,42
1,4.55,12.16,0,2,3.23,40
2,18.55,17.07,0,0,6.62,39
1,35.79,18.72,0,0,6.8,61
1,3.17,18.95,1,1,5.53,42
1,6.39,4.94,0,2,6.02,43
1,14.38,10.71,1,2,1.15,30
2,22.34,19.58,1,2,2.26,38
0,33.22,9.21,1,0,4.08,32
0,15.91,17.15,0,0,2.27,42
0,6.02,8.44,0,2,4.0,38
2,31.59,19.27,0,0,3.89,44
1,16.72,18.63,1,0,4.76,38
1,28.59,2.57,1,1,2.82,34
2,7.78,6.09,1,1,0.61,20
1,36.34,19.79,0,1,7.5,64
2,11.2,13.05,0,0,7.78,37
0,27.75,3.26,0,0,5.28,45
2,35.87,12.61,0,1,3.49,40
1,39.88,9.98,1,0,6.17,40
1,24.58,16.53,0,2,2.87,49
1,20.9,15.42,0,1,7.85,46
1,9.79,12.94,0,0,4.84,33
1,30.45,18.06,1,2,5.06,54
1,24.24,8.67,0,1,2.92,38
1,7.57,12.31,0,2,1.48,40
1,7.07,10.09,1,1,6.65,30
2,3.21,9.45,1,2,6.05,32
0,13.52,12.32,0,2,7.42,43
1,32.22,12.14,0,1,3.09,44
1,37.37,17.87,0,0,5.52,56
1,7.41,8.0,0,1,7.89,39
0,9.12,13.67,0,0,6.83,36
1,36.67,6.24,0,1,7.39,52
0,23.16,9.48,0,2,0.82,38
2,24.99,15.86,0,1,5.6,39
0,30.25,9.65,1,2,4.41,39
0,36.4,13.52,0,2,7.75,52
0,30.73,7.98,1,0,6.61,37
0,28.82,7.89,1,0,1.65,32
0,30.41,7.56,0,1,1.99,43
1,39.39,3.2,0,2,6.58,56
2,33.21,16.9,0,0,6.68,43
1,6.81,3.25,0,0,7.47,36
2,19.97,15.2,1,0,7.81,27
1,27.23,10.82,1,2,7.35,42
2,3.17,17.91,1,1,1.99,31
1,9.15,14.14,1,2,3.5,33
2,15.2,16.11,0,1,7.56,42
1,9.65,10.24,1,1,5.19,30
2,25.92,11.8,1,1,3.29,26
2,15.78,6.68,0,1,4.34,31
2,12.94,6.07,1,0,3.99,21
1,18.92,15.8,0,1,5.88,46
2,23.19,7.09,0,1,5.88,35
0,9.9,13.74,1,1,3.67,26
2,34.0,2.18,1,0,0.72,19
1,16.81,5.12,0,0,2.28,35
0,31.32,8.76,1,1,6.1,40
1,30.71,15.12,0,1,2.19,47
1,15.8,16.02,0,1,2.68,45
1,36.49,2.05,1,2,7.44,47
2,25.37,3.37,1,0,1.4,23
2,29.51,8.24,1,2,1.15,30
1,10.5,16.34,1,0,3.72,30
1,7.85,9.92,1,2,5.89,34
1,39.89,9.4,1,1,2.72,39
2,35.85,13.36,1,0,4.22,30
1,36.05,3.12,1,1,3.83,39
0,15.8,12.84,0,0,4.21,34
1,6.7,18.67,1,0,3.22,35
0,13.44,8.99,1,1,5.72,31
0,29.43,4.66,1,2,1.39,39
2,16.73,9.1,1,2,6.23,30
2,3.57,3.72,0,0,4.78,30
2,34.43,3.74,1,1,3.71,26
2,30.98,16.6,0,0,0.81,35
2,6.62,3.41,1,1,2.79,24
0,16.14,19.99,0,0,5.54,47
0,20.48,5.71,0,0,6.28,39
2,33.22,11.26,1,0,0.74,19
2,34.86,2.34,1,1,5.55,30
1,31.06,3.9,0,0,4.54,40
0,8.13,7.68,0,0,4.15,31
1,17.97,19.94,1,1,5.52,45
0,21.28,5.83,1,2,2.19,33
2,1.56,16.88,0,1,6.03,44
2,0.37,2.43,1,0,5.96,25
2,26.92,5.59,1,0,4.83,23
1,38.33,5.69,0,2,5.37,56
1,8.1,12.48,0,0,5.4,37
2,33.64,10.93,0,1,6.09,39
1,4.15,8.99,0,1,5.11,39
0,4.9,11.07,1,0,6.37,28
0,15.67,7.51,1,0,4.41,26
1,2.63,14.39,1,2,3.07,33
1,3.51,9.21,0,0,5.55,36
0,1.46,14.45,0,0,6.55,39
1,8.06,16.5,0,1,1.83,42
1,30.96,9.26,0,2,5.45,51
0,8.76,18.05,1,2,1.4,38
2,21.9,2.28,1,0,7.88,23
1,10.48,3.12,0,2,3.51,39
1,11.15,4.44,0,0,2.71,32
1,21.85,9.5,0,0,6.47,39
2,8.58,10.39,1,1,3.31,24
0,27.81,18.37,0,2,7.11,60
0,26.79,19.99,1,2,3.37,47
2,0.87,15.87,0,1,2.07,37
1,16.52,19.49,0,0,5.85,51
1,8.07,5.22,0,1,7.92,39
1,32.83,17.42,1,0,0.62,34
1,34.07,9.52,0,0,2.76,40
0,24.86,12.57,1,0,2.65,26
0,26.78,11.5,0,1,2.78,43
2,29.29,15.95,0,0,5.49,40
0,34.96,5.07,0,0,5.75,45
